service_id,date,exception_type
036-71-0400102025-BTS#SB,20251008,2
036-71-0400102025-BTS#SB,20251015,2
036-71-0400102025-BTS#SB,20251022,2
036-98-0650102025-SB#BTS,20251009,2
036-98-0650102025-SB#BTS,20251016,2
036-98-0650102025-SB#BTS,20251023,2
037-2-0615102025-AMD#M,20251008,2
037-2-0615102025-AMD#M,20251015,2
037-2-0615102025-AMD#M,20251022,2
039-113-0720062025-B#ZWB,20250609,2
039-113-0720062025-B#ZWB,20250617,2
039-113-0720062025-B#ZWB,20250624,2
039-24-1300062025-AUE#B,20250616,2
039-24-1300062025-AUE#B,20250623,2
039-30-1305062025-ZWB#B,20250609,2
039-30-1305062025-ZWB#B,20250617,2
039-30-1305062025-ZWB#B,20250624,2
039-85-0720062025-B#AUE,20250616,2
039-85-0720062025-B#AUE,20250623,2
040-1-0315062025-INN#MUC,20250625,2
040-1-0315062025-INN#MUC,20250626,2
040-1-0315072025-INN#MUC,20250702,2
040-1-0315072025-INN#MUC,20250703,2
040-1-0315072025-INN#MUC,20250709,2
040-1-0315072025-INN#MUC,20250710,2
040-1-0315072025-INN#MUC,20250716,2
040-1-0315072025-INN#MUC,20250717,2
040-1-0315072025-INN#MUC,20250723,2
040-1-0315072025-INN#MUC,20250724,2
040-1-0315102025-INN#MUC,20251008,2
040-1-0315102025-INN#MUC,20251009,2
040-1-0315102025-INN#MUC,20251015,2
040-1-0315102025-INN#MUC,20251016,2
040-1-0315102025-INN#MUC,20251022,2
040-1-0315102025-INN#MUC,20251023,2
040-17-1115062025-INN#MUC,20250624,2
040-17-1115062025-INN#MUC,20250625,2
040-17-1115062025-INN#MUC,20250626,2
040-17-1115072025-INN#MUC,20250708,2
040-17-1115072025-INN#MUC,20250709,2
040-17-1115072025-INN#MUC,20250710,2
040-17-1115072025-INN#MUC,20250715,2
040-17-1115072025-INN#MUC,20250716,2
040-17-1115072025-INN#MUC,20250717,2
040-17-1115072025-INN#MUC,20250722,2
040-17-1115072025-INN#MUC,20250723,2
040-17-1115072025-INN#MUC,20250724,2
040-17-1115102025-INN#MUC,20251008,2
040-17-1115102025-INN#MUC,20251009,2
040-17-1115102025-INN#MUC,20251015,2
040-17-1115102025-INN#MUC,20251016,2
040-17-1115102025-INN#MUC,20251022,2
040-17-1115102025-INN#MUC,20251023,2
040-18-1510062025-MUC#INN,20250624,2
040-18-1510062025-MUC#INN,20250625,2
040-18-1510062025-MUC#INN,20250626,2
040-18-1510072025-MUC#INN,20250708,2
040-18-1510072025-MUC#INN,20250709,2
040-18-1510072025-MUC#INN,20250710,2
040-18-1510072025-MUC#INN,20250715,2
040-18-1510072025-MUC#INN,20250716,2
040-18-1510072025-MUC#INN,20250717,2
040-18-1510072025-MUC#INN,20250722,2
040-18-1510072025-MUC#INN,20250723,2
040-18-1510072025-MUC#INN,20250724,2
040-18-1510102025-MUC#INN,20251008,2
040-18-1510102025-MUC#INN,20251009,2
040-18-1510102025-MUC#INN,20251015,2
040-18-1510102025-MUC#INN,20251016,2
040-18-1510102025-MUC#INN,20251022,2
040-18-1510102025-MUC#INN,20251023,2
040-22-1900062025-MUC#INN,20250624,2
040-22-1900062025-MUC#INN,20250625,2
040-22-1900062025-MUC#INN,20250626,2
040-22-1900072025-MUC#INN,20250708,2
040-22-1900072025-MUC#INN,20250709,2
040-22-1900072025-MUC#INN,20250710,2
040-22-1900072025-MUC#INN,20250715,2
040-22-1900072025-MUC#INN,20250716,2
040-22-1900072025-MUC#INN,20250717,2
040-22-1900072025-MUC#INN,20250722,2
040-22-1900072025-MUC#INN,20250723,2
040-22-1900072025-MUC#INN,20250724,2
040-22-1900102025-MUC#INN,20251008,2
040-22-1900102025-MUC#INN,20251009,2
040-22-1900102025-MUC#INN,20251015,2
040-22-1900102025-MUC#INN,20251016,2
040-22-1900102025-MUC#INN,20251022,2
040-22-1900102025-MUC#INN,20251023,2
040-25-0715062025-INN#MUC,20250625,2
040-25-0715062025-INN#MUC,20250626,2
040-25-0715072025-INN#MUC,20250702,2
040-25-0715072025-INN#MUC,20250703,2
040-25-0715072025-INN#MUC,20250709,2
040-25-0715072025-INN#MUC,20250710,2
040-25-0715072025-INN#MUC,20250716,2
040-25-0715072025-INN#MUC,20250717,2
040-25-0715072025-INN#MUC,20250723,2
040-25-0715072025-INN#MUC,20250724,2
040-25-0715102025-INN#MUC,20251008,2
040-25-0715102025-INN#MUC,20251009,2
040-25-0715102025-INN#MUC,20251015,2
040-25-0715102025-INN#MUC,20251016,2
040-25-0715102025-INN#MUC,20251022,2
040-25-0715102025-INN#MUC,20251023,2
040-28-1105062025-MUC#INN,20250624,2
040-28-1105062025-MUC#INN,20250625,2
040-28-1105072025-MUC#INN,20250708,2
040-28-1105072025-MUC#INN,20250709,2
040-28-1105072025-MUC#INN,20250715,2
040-28-1105072025-MUC#INN,20250716,2
040-28-1105072025-MUC#INN,20250722,2
040-28-1105072025-MUC#INN,20250723,2
040-28-1105102025-MUC#INN,20251008,2
040-28-1105102025-MUC#INN,20251015,2
040-28-1105102025-MUC#INN,20251022,2
